"customer_id","f_name","l_name","state","address","order_id","order_date","customer_id-2","seller_id","order_status","shipping_providers","days_took_to_ship"
188,"Ulysses","Green","California","XXXX",6035,"2021-07-06",188,1,"Completed","fedex",5
189,"Yvonne","Turner","California","XXXX",11560,"2022-11-08",189,10,"Completed","fedex",4
189,"Yvonne","Turner","California","XXXX",11416,"2020-03-06",189,11,"Completed","fedex",4
190,"David","Wilson","Colorado","XXXX",11768,"2021-07-25",190,20,"Completed","fedex",5
191,"Brian","White","Colorado","XXXX",14299,"2022-04-03",191,4,"Completed","fedex",5
191,"Brian","White","Colorado","XXXX",16246,"2020-10-27",191,32,"Completed","fedex",5
193,"Victor","Adams","Colorado","XXXX",6581,"2022-03-27",193,1,"Completed","fedex",5
194,"Samuel","Adams","Colorado","XXXX",11288,"2020-08-08",194,21,"Completed","fedex",4
195,"Emily","Clark","Connecticut","XXXX",3017,"2022-07-20",195,4,"Completed","fedex",5
195,"Emily","Clark","Connecticut","XXXX",4613,"2020-08-11",195,5,"Completed","fedex",5
196,"Cynthia","Bell","Connecticut","XXXX",1463,"2021-05-24",196,3,"Completed","fedex",4
197,"Zachary","Murphy","Connecticut","XXXX",4133,"2024-01-04",197,1,"Completed","fedex",5
197,"Zachary","Murphy","Connecticut","XXXX",2923,"2023-03-27",197,2,"Completed","fedex",5
197,"Zachary","Murphy","Connecticut","XXXX",15351,"2020-12-24",197,14,"Completed","fedex",5
197,"Zachary","Murphy","Connecticut","XXXX",3829,"2020-04-10",197,1,"Completed","fedex",4
199,"Tara","Smith","Connecticut","XXXX",7404,"2021-11-05",199,5,"Completed","fedex",5
201,"Derek","Robinson","Delaware","XXXX",19759,"2022-12-07",201,21,"Completed","fedex",4
202,"Amelia","Hill","Delaware","XXXX",6785,"2023-05-17",202,5,"Completed","fedex",5
202,"Amelia","Hill","Delaware","XXXX",10564,"2023-05-17",202,15,"Completed","fedex",5
203,"Xavier","Green","Delaware","XXXX",9636,"2020-12-01",203,4,"Completed","fedex",4
205,"Grace","Martinez","Florida","XXXX",11204,"2022-04-01",205,10,"Completed","fedex",4
205,"Grace","Martinez","Florida","XXXX",9488,"2020-10-28",205,1,"Completed","fedex",5
206,"Erin","Stewart","Florida","XXXX",8038,"2020-05-11",206,3,"Completed","fedex",4
208,"Yvonne","Smith","Florida","XXXX",12634,"2024-01-03",208,3,"Completed","fedex",5
210,"Henry","Walker","Georgia","XXXX",14679,"2022-08-20",210,49,"Completed","fedex",4
211,"Fred","Harris","Georgia","XXXX",2601,"2023-06-15",211,5,"Completed","fedex",4
212,"Cynthia","Wilson","Georgia","XXXX",3361,"2022-07-02",212,3,"Completed","fedex",5
214,"Wanda","Green","Georgia","XXXX",7248,"2023-03-28",214,3,"Completed","fedex",5
216,"Grace","Scott","Hawaii","XXXX",8628,"2023-11-13",216,2,"Completed","fedex",4
216,"Grace","Scott","Hawaii","XXXX",15025,"2022-09-30",216,15,"Completed","fedex",4
217,"Derek","Taylor","Hawaii","XXXX",4761,"2023-04-22",217,5,"Completed","fedex",5
217,"Derek","Taylor","Hawaii","XXXX",3309,"2021-10-03",217,3,"Completed","fedex",4
217,"Derek","Taylor","Hawaii","XXXX",12174,"2020-01-13",217,9,"Completed","fedex",5
218,"Amelia","Green","Hawaii","XXXX",87,"2023-10-14",218,3,"Completed","fedex",5
218,"Amelia","Green","Hawaii","XXXX",15625,"2020-08-15",218,28,"Completed","fedex",5
218,"Amelia","Green","Hawaii","XXXX",1095,"2020-01-01",218,1,"Completed","fedex",4
219,"Xavier","Davis","Hawaii","XXXX",13717,"2023-06-17",219,21,"Completed","fedex",5
219,"Xavier","Davis","Hawaii","XXXX",521,"2022-04-22",219,2,"Completed","fedex",4
219,"Xavier","Davis","Hawaii","XXXX",10582,"2021-10-08",219,6,"Completed","fedex",4
220,"Jack","Allen","Idaho","XXXX",15724,"2022-09-07",220,30,"Completed","fedex",4
221,"Hugo","Edwards","Idaho","XXXX",16628,"2024-01-19",221,32,"Completed","fedex",5
224,"Yvonne","Reed","Idaho","XXXX",18913,"2023-02-16",224,28,"Completed","fedex",5
224,"Yvonne","Reed","Idaho","XXXX",3671,"2022-05-02",224,5,"Completed","fedex",4
225,"Karen","Young","Illinois","XXXX",17086,"2023-09-30",225,20,"Completed","fedex",5
225,"Karen","Young","Illinois","XXXX",2379,"2020-03-12",225,5,"Completed","fedex",4
226,"Ivy","James","Illinois","XXXX",17106,"2021-04-26",226,23,"Completed","fedex",5
226,"Ivy","James","Illinois","XXXX",10428,"2020-07-13",226,20,"Completed","fedex",4
228,"Cynthia","Reed","Illinois","XXXX",7132,"2023-09-30",228,3,"Completed","fedex",5
228,"Cynthia","Reed","Illinois","XXXX",8736,"2022-03-01",228,1,"Completed","fedex",5
228,"Cynthia","Reed","Illinois","XXXX",17699,"2020-12-16",228,26,"Completed","fedex",5
229,"Zachary","Scott","Illinois","XXXX",527,"2024-01-01",229,1,"Completed","fedex",4
229,"Zachary","Scott","Illinois","XXXX",17400,"2020-09-18",229,24,"Completed","fedex",4
232,"Grace","King","Indiana","XXXX",3815,"2021-09-29",232,2,"Completed","fedex",5
232,"Grace","King","Indiana","XXXX",3475,"2021-08-28",232,4,"Completed","fedex",4
233,"Derek","Adams","Indiana","XXXX",17230,"2021-12-12",233,26,"Completed","fedex",4
234,"Amelia","Davis","Indiana","XXXX",14433,"2023-01-08",234,2,"Completed","fedex",5
235,"Mona","Scott","Iowa","XXXX",2965,"2023-03-30",235,5,"Completed","fedex",4
235,"Mona","Scott","Iowa","XXXX",6589,"2020-03-20",235,5,"Completed","fedex",4
237,"Hugo","Lewis","Iowa","XXXX",5345,"2023-02-27",237,3,"Completed","fedex",4
239,"Brian","Brown","Iowa","XXXX",289,"2020-01-26",239,1,"Completed","fedex",5
240,"Nathan","Wright","Kansas","XXXX",4479,"2023-05-16",240,2,"Completed","fedex",4
240,"Nathan","Wright","Kansas","XXXX",17983,"2022-03-01",240,27,"Completed","fedex",4
240,"Nathan","Wright","Kansas","XXXX",11254,"2021-07-05",240,25,"Completed","fedex",4
242,"Ivy","Morris","Kansas","XXXX",5991,"2023-12-03",242,2,"Completed","fedex",5
242,"Ivy","Morris","Kansas","XXXX",18469,"2023-05-31",242,27,"Completed","fedex",5
