"customer_id","f_name","l_name","state","address"
894,"Ursula","Lee","Wisconsin","XXXX"
895,"Samuel","Clark","Wisconsin","XXXX"
896,"Patrick","Scott","Wisconsin","XXXX"
897,"Mia","Davis","Wisconsin","XXXX"
898,"Jake","Davis","Wisconsin","XXXX"
889,"Tara","Sanchez","West Virginia","XXXX"
890,"Rachel","Davis","West Virginia","XXXX"
891,"Olivia","Adams","West Virginia","XXXX"
892,"Leo","Smith","West Virginia","XXXX"
893,"Isla","Smith","West Virginia","XXXX"
884,"Samuel","Walker","Washington","XXXX"
885,"Quinn","Walker","Washington","XXXX"
886,"Noah","Reed","Washington","XXXX"
887,"Kayla","Reed","Washington","XXXX"
888,"Henry","Green","Washington","XXXX"
879,"Rachel","Brooks","Virginia","XXXX"
880,"Patrick","Hall","Virginia","XXXX"
881,"Mia","Martin","Virginia","XXXX"
882,"Jake","Green","Virginia","XXXX"
883,"Gina","Reed","Virginia","XXXX"
874,"Quinn","Hayes","Vermont","XXXX"
875,"Olivia","Hughes","Vermont","XXXX"
876,"Leo","Green","Vermont","XXXX"
877,"Isla","Brown","Vermont","XXXX"
878,"Felix","Davis","Vermont","XXXX"
869,"Patrick","Murphy","Utah","XXXX"
870,"Noah","Foster","Utah","XXXX"
871,"Kayla","Lewis","Utah","XXXX"
872,"Henry","Smith","Utah","XXXX"
873,"Ella","Brown","Utah","XXXX"
751,"Zackary","Brown","Texas","XXXX"
752,"Daniel","Brown","Texas","XXXX"
753,"Henry","Carter","Texas","XXXX"
754,"Leo","Harris","Texas","XXXX"
755,"Patrick","Davis","Texas","XXXX"
756,"Tara","Green","Texas","XXXX"
757,"Xavier","Taylor","Texas","XXXX"
758,"Brian","Smith","Texas","XXXX"
759,"Frank","Turner","Texas","XXXX"
760,"Jack","Green","Texas","XXXX"
761,"Nathan","Smith","Texas","XXXX"
762,"Rachel","Turner","Texas","XXXX"
763,"Victor","Reed","Texas","XXXX"
764,"Zackary","Wilson","Texas","XXXX"
765,"Daniel","Scott","Texas","XXXX"
766,"Henry","Clark","Texas","XXXX"
767,"Leo","Smith","Texas","XXXX"
768,"Patrick","Reed","Texas","XXXX"
769,"Tara","Reed","Texas","XXXX"
770,"Xavier","Reed","Texas","XXXX"
771,"Brian","Green","Texas","XXXX"
772,"Frank","Reed","Texas","XXXX"
773,"Jack","Smith","Texas","XXXX"
774,"Nathan","Wilson","Texas","XXXX"
775,"Rachel","Johnson","Texas","XXXX"
776,"Victor","Green","Texas","XXXX"
777,"Zackary","Brown","Texas","XXXX"
778,"Daniel","Wilson","Texas","XXXX"
779,"Henry","Reed","Texas","XXXX"
780,"Leo","Turner","Texas","XXXX"
781,"Patrick","Smith","Texas","XXXX"
782,"Tara","Scott","Texas","XXXX"
783,"Xavier","Scott","Texas","XXXX"
784,"Brian","Davis","Texas","XXXX"
785,"Frank","Davis","Texas","XXXX"
786,"Jack","Reed","Texas","XXXX"
787,"Nathan","Reed","Texas","XXXX"
788,"Rachel","Turner","Texas","XXXX"
789,"Victor","Davis","Texas","XXXX"
790,"Zackary","Scott","Texas","XXXX"
791,"Daniel","Turner","Texas","XXXX"
792,"Henry","Turner","Texas","XXXX"
793,"Leo","Reed","Texas","XXXX"
794,"Patrick","Reed","Texas","XXXX"
795,"Tara","Davis","Texas","XXXX"
796,"Xavier","Brown","Texas","XXXX"
797,"Brian","Scott","Texas","XXXX"
798,"Frank","Scott","Texas","XXXX"
799,"Jack","Harris","Texas","XXXX"
800,"Nathan","Green","Texas","XXXX"
801,"Rachel","Scott","Texas","XXXX"
802,"Victor","Turner","Texas","XXXX"
803,"Zackary","Turner","Texas","XXXX"
804,"Daniel","Reed","Texas","XXXX"
805,"Henry","Harris","Texas","XXXX"
806,"Leo","Scott","Texas","XXXX"
807,"Patrick","Davis","Texas","XXXX"
808,"Tara","Reed","Texas","XXXX"
809,"Xavier","Davis","Texas","XXXX"
810,"Brian","Davis","Texas","XXXX"
811,"Frank","Reed","Texas","XXXX"
812,"Jack","Reed","Texas","XXXX"
813,"Nathan","Reed","Texas","XXXX"
814,"Rachel","Davis","Texas","XXXX"
815,"Victor","Green","Texas","XXXX"
816,"Zackary","Turner","Texas","XXXX"
817,"Daniel","Davis","Texas","XXXX"
818,"Henry","Turner","Texas","XXXX"
819,"Leo","Davis","Texas","XXXX"
820,"Patrick","Scott","Texas","XXXX"
821,"Tara","Scott","Texas","XXXX"
822,"Xavier","Reed","Texas","XXXX"
823,"Brian","Reed","Texas","XXXX"
824,"Frank","Turner","Texas","XXXX"
825,"Jack","Davis","Texas","XXXX"
826,"Nathan","Turner","Texas","XXXX"
827,"Rachel","Davis","Texas","XXXX"
828,"Victor","Scott","Texas","XXXX"
829,"Zackary","Reed","Texas","XXXX"
830,"Daniel","Green","Texas","XXXX"
831,"Henry","Turner","Texas","XXXX"
832,"Leo","Turner","Texas","XXXX"
833,"Patrick","Davis","Texas","XXXX"
834,"Tara","Davis","Texas","XXXX"
835,"Xavier","Davis","Texas","XXXX"
836,"Brian","Davis","Texas","XXXX"
837,"Frank","Reed","Texas","XXXX"
838,"Jack","Turner","Texas","XXXX"
839,"Nathan","Scott","Texas","XXXX"
840,"Rachel","Scott","Texas","XXXX"
841,"Victor","Davis","Texas","XXXX"
842,"Zackary","Davis","Texas","XXXX"
843,"Daniel","Reed","Texas","XXXX"
844,"Henry","Reed","Texas","XXXX"
845,"Leo","Scott","Texas","XXXX"
846,"Patrick","Green","Texas","XXXX"
847,"Tara","Reed","Texas","XXXX"
848,"Xavier","Reed","Texas","XXXX"
849,"Brian","Reed","Texas","XXXX"
850,"Frank","Turner","Texas","XXXX"
851,"Jack","Green","Texas","XXXX"
852,"Nathan","Turner","Texas","XXXX"
853,"Rachel","Davis","Texas","XXXX"
854,"Victor","Green","Texas","XXXX"
855,"Zackary","Davis","Texas","XXXX"
856,"Daniel","Davis","Texas","XXXX"
857,"Henry","Turner","Texas","XXXX"
858,"Leo","Davis","Texas","XXXX"
859,"Patrick","Reed","Texas","XXXX"
860,"Tara","Turner","Texas","XXXX"
861,"Xavier","Turner","Texas","XXXX"
862,"Brian","Davis","Texas","XXXX"
863,"Frank","Reed","Texas","XXXX"
864,"Jack","Turner","Texas","XXXX"
865,"Nathan","Scott","Texas","XXXX"
866,"Rachel","Scott","Texas","XXXX"
867,"Victor","Scott","Texas","XXXX"
868,"Zackary","Reed","Texas","XXXX"
416,"Derek","Davis","New York","XXXX"
427,"Victor","Harris","New York","XXXX"
442,"Derek","Green","New York","XXXX"
455,"Derek","Scott","New York","XXXX"
468,"Derek","Green","New York","XXXX"
478,"Rachel","Reed","New York","XXXX"
294,"Monica","Davis","Montana","XXXX"
250,"Paul","Baker","Louisiana","XXXX"
236,"Karen","Mitchell","Iowa","XXXX"
223,"Brian","Lewis","Idaho","XXXX"
200,"Frank","Lewis","Delaware","XXXX"
21,"Carol","Davis","California","XXXX"
22,"Victor","Cruz","California","XXXX"
23,"Amelia","Ross","California","XXXX"
24,"Xavier","Hughes","California","XXXX"
25,"Ursula","Brown","California","XXXX"
26,"Rachel","Johnson","California","XXXX"
27,"Kayla","Brown","California","XXXX"
28,"Olivia","Davis","California","XXXX"
29,"Samuel","Davis","California","XXXX"
30,"Wanda","Davis","California","XXXX"
31,"Amelia","Smith","California","XXXX"
32,"Erin","Brown","California","XXXX"
33,"Ivy","Davis","California","XXXX"
34,"Monica","Smith","California","XXXX"
35,"Quinn","Davis","California","XXXX"
36,"Ulysses","Smith","California","XXXX"
37,"Yara","Reed","California","XXXX"
38,"Chloe","Reed","California","XXXX"
